arch,fold,epoch,train_loss,val_f1,val_acc,val_kappa
DeepSleepNet,1,20,0.30998382174699113,0.5780875064597015,0.6261992267672187,0.4368146222359901
DeepSleepNet,1,21,0.30800274539839084,0.5314934100303682,0.6582263376449812,0.45892418097334253
DeepSleepNet,1,22,0.3034269593965745,0.5531892670893139,0.6568898859242995,0.45984028186241255
DeepSleepNet,1,23,0.2956519049599147,0.5009832124170194,0.5289962292969309,0.34183764772103153
DeepSleepNet,1,24,0.290267626606019,0.5675853935326561,0.6424275690897809,0.44883687846349385
DeepSleepNet,1,25,0.28486047310249146,0.48924408463700575,0.6222614672330676,0.4134204676718324
DeepSleepNet,1,26,0.2803254726627491,0.5179842435396436,0.5943869027731373,0.3997883693147295
DeepSleepNet,1,27,0.2747623523209964,0.5579054547102358,0.6695623120614768,0.4711867374655583
DeepSleepNet,1,28,0.273209856933297,0.5448548930573572,0.6406138131831416,0.4440063484418435
DeepSleepNet,1,29,0.26615533513952877,0.6031877656214801,0.6848360460121236,0.49932416774268384
DeepSleepNet,1,30,0.26219169433367573,0.538112299007182,0.6428094124385471,0.44637994512106105
DeepSleepNet,1,31,0.25874372531265966,0.5603162176479656,0.6467710371819961,0.4538211882359655
DeepSleepNet,1,32,0.25409405203331215,0.5410382040555289,0.6129779008161902,0.4187418399446442
DeepSleepNet,1,33,0.25131746297178464,0.584900137428636,0.6667462173643263,0.4755794574276805
DeepSleepNet,1,34,0.24429958935981858,0.5341215273912163,0.672426137177223,0.47812090991243905
DeepSleepNet,1,35,0.2399013081396996,0.6288468810736452,0.7212782206099948,0.5427347473283102
DeepSleepNet,1,36,0.2385459979581658,0.6196160955677744,0.7109923154026061,0.5284892345775035
DeepSleepNet,1,37,0.23269532695048303,0.604907699623382,0.68307002052408,0.49841943845658276
DeepSleepNet,1,38,0.22702284909074347,0.6016438884881923,0.6700873466660303,0.4811225682467395
DeepSleepNet,1,39,0.2268658625649648,0.6265726085139435,0.7117082716815426,0.5342324733643374
DeepSleepNet,1,40,0.22229378247829404,0.6046965262500943,0.7106582024724357,0.5266403215958277
DeepSleepNet,1,41,0.2189498337509434,0.5789180802319944,0.7068874994033698,0.5206224429632722
DeepSleepNet,1,42,0.21551743037725427,0.6424843235685342,0.7428285046059854,0.571102158733788
DeepSleepNet,1,43,0.2109539454151628,0.6318032143911035,0.7388191494439407,0.5628612907193309
DeepSleepNet,1,44,0.21175049394733456,0.6356301751881452,0.7325664646078947,0.5536877506552722
DeepSleepNet,1,45,0.2052203351517907,0.6187625574493718,0.7303470001431912,0.5489823098757736
DeepSleepNet,1,46,0.20324904315884074,0.6572705405542221,0.7761204715765357,0.6122078467417273
DeepSleepNet,1,47,0.1997329190227688,0.6470942109855138,0.7537826356737148,0.5807169131726224
DeepSleepNet,1,48,0.19568921567685446,0.6615819907495908,0.7847596773423703,0.6214491417276912
DeepSleepNet,1,49,0.19381843411743932,0.6362870192482043,0.7360985155839816,0.5595048906491544
DeepSleepNet,1,50,0.19032265888595348,0.6281022898225277,0.7437115173500072,0.563999888151729
DeepSleepNet,2,1,0.8141904330927215,0.28621307495415255,0.20784116612214124,0.1368643150688098
DeepSleepNet,2,2,0.5707479567939522,0.3820868875864634,0.272475953300281,0.18354578257436283
DeepSleepNet,2,3,0.5165790012015172,0.377034488431621,0.2809979665973634,0.1776696704234607
DeepSleepNet,2,4,0.4851393288114416,0.398999917814589,0.34465032328817197,0.22039411108063223
DeepSleepNet,2,5,0.4605193443800489,0.5058110606826772,0.49557906280700953,0.3305525477197897
DeepSleepNet,2,6,0.4387861946142058,0.5346715960921442,0.5440837122164088,0.3703970065013312
DeepSleepNet,2,7,0.42461999248414356,0.5134110357796994,0.535470310036784,0.35920900560814106
